,Product Name,Offer,Camera,Memory,Battery,Display,Ratting Number,Sale Price,Actual Price,No of Reviews,No of Rattings
634,"realme Narzo 80 Pro 5G (Speed Silver, 256 GB)",18% off,50MP Rear Camera,12 GB RAM | 256 GB ROM,6000 mAh Battery,17.2 cm (6.77 inch) Display,4.5,22865,27999,156,16
635,"POCO M7 Pro 5G (Olive Twilight, 256 GB)",26% off,50MP + 2MP | 20MP Front Camera,8 GB RAM | 256 GB ROM,5110 mAh Battery,16.94 cm (6.67 inch) Full HD+ Display,4.3,15499,20999,14276,1159
636,"REDMI A5 (Just Black, 64 GB)",11% off,32MP Rear Camera | 8MP Front Camera,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,5200 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.1,7999,8999,7208,338
637,"REDMI Note 14 5G (Phantom Purple, 256 GB)",25% off,50MP Rear Camera,8 GB RAM | 256 GB ROM,5110 mAh Battery,16.94 cm (6.67 inch) Display,4.2,18571,24999,4330,240
638,"Tecno Pova 7 5G (Oasis Green, 256 GB)",20% off,50MP + AI | 13MP Front Camera,8 GB RAM | 256 GB ROM,6000 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,4.4,15999,19999,9322,711
639,Kechaoda K-033 Pink,33% off,0.3MP + 0MP | 0MP Front Camera,32 MB RAM | 32 GB ROM | Expandable Upto 32 MB,800 mAh Battery,3.66 cm (1.44 inch) NA Display,4.4,999,1499,13,0
640,"LAVA Storm Lite 5G (Cosmic Titanium, 64 GB)",17% off,50MP Rear Camera,4 GB RAM | 64 GB ROM,5000 mAh Battery,16.76 cm (6.6 inch) Display,4.2,9029,10990,134,10
641,"Samsung Galaxy F05 (Twilight Blue, 64 GB)",35% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.12 cm (6.74 inch) HD+ Display,4.2,6499,9999,78111,4155
642,Kechaoda K33,54% off,0.3MP + 0MP | 0MP Front Camera,32 MB RAM | 32 GB ROM | Expandable Upto 32 MB,800 mAh Battery,3.66 cm (1.44 inch) NA Display,4,999,2200,11171,622
643,"Motorola g64 5G (Pearl Blue, 256 GB)",20% off,50MP (OIS) + 8MP | 16MP Front Camera,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,6000 mAh Battery,16.51 cm (6.5 inch) Full HD+ Display,4.2,15999,19999,90544,5588
644,"OnePlus Nord CE4 (Dark Chrome, 128 GB)",8% off,50MP Rear Camera,8 GB RAM | 128 GB ROM,5500 mAh Battery,17.02 cm (6.7 inch) Display,4.4,22999,24999,28237,1538
645,"realme 14x 5G (Jewel Red, 128 GB)",11% off,50MP Rear Camera | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6000 mAh Battery,16.94 cm (6.67 inch) HD+ Display,4.3,14988,16999,14056,678
646,"realme Narzo 80 Pro 5G (Speed Silver, 256 GB)",23% off,50MP Rear Camera,8 GB RAM | 256 GB ROM,6000 mAh Battery,17.2 cm (6.77 inch) Display,4.5,19794,25999,909,46
647,"Apple iPhone 14 (Blue, 128 GB)",No Offer,12MP + 12MP | 12MP Front Camera,128 GB ROM,"A15 Bionic Chip, 6 Core Processor Processor",15.49 cm (6.1 inch) Super Retina XDR Display,4.6,54900,54900,321738,11943
648,"Motorola G85 5G (Olive Green, 128 GB)",23% off,50MP + 8MP | 32MP Front Camera,8 GB RAM | 128 GB ROM,5000 mAh Battery,16.94 cm (6.67 inch) Full HD+ Display,4.4,15999,20999,260096,12803
649,"realme P3 Lite 5G (Jade Green, 128 GB)",17% off,32MP Rear Camera | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6000 mAh Battery,16.94 cm (6.67 inch) Display,4.4,10749,12999,9486,381
650,"realme P4x 5G (Lake Green, 128 GB)",8% off,50MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM,7000 mAh Battery,17.07 cm (6.72 inch) Full HD+ Display,4.4,16499,17999,7161,549
651,"Coolpad CP12 Neo (Gold, 64 GB)",27% off,13MP Rear Camera | 5MP Front Camera,8 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Battery,16.66 cm (6.56 inch) Display,,7299,9999,7161,549
652,"OnePlus Nord CE4 (Dark Chrome, 128 GB)",8% off,50MP Rear Camera,8 GB RAM | 128 GB ROM,5500 mAh Battery,17.02 cm (6.7 inch) Display,4.4,22999,24999,28237,1538
653,"realme 14x 5G (Jewel Red, 128 GB)",11% off,50MP Rear Camera | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6000 mAh Battery,16.94 cm (6.67 inch) HD+ Display,4.3,14988,16999,14056,678
654,"realme Narzo 80 Pro 5G (Speed Silver, 256 GB)",23% off,50MP Rear Camera,8 GB RAM | 256 GB ROM,6000 mAh Battery,17.2 cm (6.77 inch) Display,4.5,19794,25999,909,46
655,"Motorola g64 5G (Pearl Blue, 256 GB)",20% off,50MP (OIS) + 8MP | 16MP Front Camera,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,6000 mAh Battery,16.51 cm (6.5 inch) Full HD+ Display,4.2,15999,19999,90544,5588
656,itel Ace2 Heera | King Talker | Auto Call Recording | Expendable Storage32GB,21% off,1000 mAh Battery,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,1 year manufacturer Warranty,4.57 cm (1.8 inch) Display,4,865,1099,355,19
657,"vivo V60 5G (Auspicious Gold, 256 GB)",11% off,50MP + 8MP + 50MP | 50MP Front Camera,8 GB RAM | 256 GB ROM,6500 mAh Battery,17.2 cm (6.77 inch) Display,4.5,38999,43999,3127,243
658,"Samsung Galaxy A07 LTE (Green, 64 GB)",24% off,50MP + 2MP,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.4,7925,10499,172,9
659,"Nokia 110 Dual Sim with Built-in UPI App, MP3 Player, Rear Camera",24% off,0.08MP Rear Camera,32 MB RAM | 32 MB ROM,1000 mAh Battery,17.02 cm (6.7 inch) Display,3.6,1579,2099,3812,235
660,"Tecno Pova Curve 5G (Neon Cyan, 256 GB)",16% off,64MP Rear Camera | 13MP Front Camera,8 GB RAM | 256 GB ROM,5500 mAh Battery,17.22 cm (6.78 inch) Display,4.4,19999,23999,1478,148
661,"Tecno Pova Curve 5G (Magic Silver, 256 GB)",16% off,64MP Rear Camera | 13MP Front Camera,8 GB RAM | 256 GB ROM,5500 mAh Battery,17.22 cm (6.78 inch) Display,4.4,19999,23999,1478,148
662,"Tecno Pova Curve 5G (Geek Black, 128 GB)",10% off,64MP Rear Camera | 13MP Front Camera,8 GB RAM | 128 GB ROM,5500 mAh Battery,17.22 cm (6.78 inch) Display,4.4,17999,19999,1478,148
663,"Samsung Galaxy A06 5G (Black, 128 GB)",27% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM,5000 mAh Li-ion Battery,17.02 cm (6.7 inch) HD+ Display,4.1,11245,15499,2876,169
664,"Tecno Pova 7 Pro 5G (Geek Black, 256 GB)",21% off,64MP + 8MP | 13MP Front Camera,8 GB RAM | 256 GB ROM,6000 mAh Battery,17.22 cm (6.78 inch) Full HD+ AMOLED Display,4.4,18749,23999,3994,420
665,"realme 14 Pro+ 5G (Pearl White, 256 GB)",11% off,50MP + 50MP + 8MP | 32MP Front Camera,8 GB RAM | 256 GB ROM,6000 mAh Battery,17.35 cm (6.83 inch) Display,4.4,31999,35999,19366,2199
666,"OPPO A5 5G (Mist White, 128 GB)",14% off,50MP + 2MP | 8MP Front Camera,8 GB RAM | 128 GB ROM,6000 mAh Battery,16.94 cm (6.67 inch) HD+ Display,4.3,17999,20999,129,2
667,"POCO X6 5G (Mirror Black, 256 GB)",22% off,64MP + 8MP + 2MP | 16MP Front Camera,12 GB RAM | 256 GB ROM,5100 mAh Battery,16.94 cm (6.67 inch) Display,4.3,20999,26999,13491,1124
668,"POCO C85 5G (Mystic Purple, 128 GB)",24% off,50MP Rear Camera | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium-Ion Polymer Battery,17.53 cm (6.9 inch) HD+ Display,4.2,10999,14499,185,12
669,"REDMI 13 5G (Black Diamond, 128 GB)",26% off,108MP Rear Camera,8 GB RAM | 128 GB ROM,5030 mAh Battery,17.25 cm (6.79 inch) Display,4.2,14753,19999,15051,790
670,"Tecno Pova Curve 5G (Magic Silver, 128 GB)",10% off,64MP Rear Camera | 13MP Front Camera,8 GB RAM | 128 GB ROM,5500 mAh Battery,17.22 cm (6.78 inch) Display,4.4,17999,19999,1478,148
671,G'Five U101,53% off,0.3MP + 0.3MP,32 MB RAM | 32 MB ROM,1000 mAh Battery,4.57 cm (1.8 inch) NA Display,3.5,460,999,77,7
672,"IQOO 15 5G (Alpha, 256 GB)",11% off,50MP Rear Camera,12 GB RAM | 256 GB ROM,7000 mAh Battery,17.4 cm (6.85 inch) Display,4.7,68000,76999,89,6
673,"IQOO 15 5G (Legend, 256 GB)",11% off,50MP Rear Camera,12 GB RAM | 256 GB ROM,7000 mAh Battery,17.4 cm (6.85 inch) Display,4.7,67800,76999,89,6
674,"realme P3 Pro 5G (Saturn Brown, 256 GB)",27% off,50MP + 2MP | 16MP Front Camera,12 GB RAM | 256 GB ROM,6000 mAh Battery,17.35 cm (6.83 inch) Display,4.4,23999,32999,4284,306
675,"Nokia 110 Dual Sim with Built-in UPI App, MP3 Player, Rear Camera",24% off,0.08MP Rear Camera,32 MB RAM | 32 MB ROM,1000 mAh Battery,17.02 cm (6.7 inch) Display,3.6,1579,2099,3812,235
676,"Coolpad CP12 Neo (Blue, 64 GB)",27% off,13MP Rear Camera | 5MP Front Camera,8 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Battery,16.66 cm (6.56 inch) Display,,7299,9999,7161,549
677,"Tecno Pova Curve 5G (Magic Silver, 128 GB)",15% off,64MP Rear Camera | 13MP Front Camera,6 GB RAM | 128 GB ROM,5500 mAh Battery,17.22 cm (6.78 inch) Display,4.4,15999,18999,2341,236
678,LAVA A1 Josh,28% off,0MP | 0MP Front Camera,4 MB RAM | 2 MB ROM | Expandable Upto 32 GB,1000 mAh Battery,5.08 cm (2 inch) HVGA Display,4.2,999,1399,22836,2136
679,"Motorola G85 5G (Olive Green, 128 GB)",23% off,50MP + 8MP | 32MP Front Camera,8 GB RAM | 128 GB ROM,5000 mAh Battery,16.94 cm (6.67 inch) Full HD+ Display,4.4,15999,20999,260096,12803
680,"REDMI 14C 5G (Stargaze Black, 128 GB)",7% off,50MP Rear Camera | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5160 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.2,12990,13999,9171,453
681,"vivo Y22 (Metaverse Green, 64 GB)",38% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium Battery,16.64 cm (6.55 inch) HD+ Display,4.3,10999,17990,2517,145
682,"POCO M6 Plus 5G (Ice Silver, 128 GB)",26% off,108MP + 2MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5030 mAh Battery,17.25 cm (6.79 inch) Full HD+ Display,4.2,13174,17999,18911,1086
683,"realme 15T 5G (Flowing Silver, 256 GB)",3% off,50MP + 2MP | 50MP Front Camera,12 GB RAM | 256 GB ROM,7000 mAh Battery,16.69 cm (6.57 inch) Full HD Display,4.2,26999,27999,716,62
684,"Samsung Galaxy F36 5G (Black, 128 GB)",20% off,50MP + 8MP + 2MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.2,19499,24499,4782,320
685,Kechaoda K115,35% off,0.3MP + 0MP | 0MP Front Camera,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,850 mAh Battery,3.66 cm (1.44 inch) QVGA Display,4.1,908,1399,43589,2715
686,MOTOROLA Moto A100,29% off,0MP | 0MP Front Camera,4 MB RAM | 36 MB ROM | Expandable Upto 0 MB,800 mAh Battery,3.66 cm (1.44 inch) HQVGA Display,3.7,1059,1499,23,2
687,"POCO M7 5G (Satin Black, 128 GB)",15% off,50MP Rear Camera | 8MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5160 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.3,11799,13999,16767,794
