,Product Name,Sale & Actual Price,Raview & Rattings,Offer,Camera,Memory,Battery,Display,Ratting Number
788,"Samsung Galaxy A16 5G (Blue Black, 128 GB)","₹16,448₹19,99917% off","4,458 Ratings & 197 Reviews",17% off,50MP + 5MP + 2MP | 13MP Front Camera,6 GB RAM | 128 GB ROM,5000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.2
789,"Samsung Galaxy A06 5G (Light Gray, 64 GB)","₹10,499₹13,99925% off","2,876 Ratings & 169 Reviews",25% off,50MP + 50MP | 8MP + 2MP Dual Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.1
790,"KARBONN K190 Dual SIM,Keypad Phone 1.8''LCD,1000mAh Battery,Camera,ExpandableUpto32GB","₹980₹1,29024% off",11 Ratings & 2 Reviews,24% off,1MP + 0MP | 0.03MP Front Camera,40 MB RAM | 35 MB ROM | Expandable Upto 16 GB,1000 mAh Battery,4.57 cm (1.8 inch) FWVGA Display,4.8
791,"REDMI A5 (Jaisalmer Gold, 64 GB)","₹7,999₹8,99911% off","7,208 Ratings & 338 Reviews",11% off,32MP Rear Camera | 8MP Front Camera,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,5200 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.1
792,"I Kall A5 Flip Mobile Phone - FM Radio, King Voice, Call & SMS Indicator Light","₹1,459₹2,49941% off",34 Ratings & 1 Reviews,41% off,0.3MP Rear Camera,32 MB RAM | 32 MB ROM | Expandable Upto 8 GB,2000 mAh Battery,4.57 cm (1.8 inch) Display,4.1
793,"POCO X7 5G (Cosmic Silver, 128 GB)","₹17,999₹24,99928% off","29,521 Ratings & 2,217 Reviews",28% off,50MP + 8MP + 2MP | 20MP Front Camera,8 GB RAM | 128 GB ROM,5500 mAh Battery,16.94 cm (6.67 inch) Display,4.3
794,"MOTOROLA Edge 60 Pro (Pantone Dazzling Blue, 256 GB)","₹29,999₹36,99918% off","46,783 Ratings & 3,440 Reviews",18% off,50MP + 50MP + 10MP | 50MP Front Camera,8 GB RAM | 256 GB ROM,6000 mAh Battery,17.02 cm (6.7 inch) Display,4.3
795,"vivo V60e (Elite Purple, 128 GB)","₹31,999₹34,9998% off","2,682 Ratings & 163 Reviews",8% off,200MP + 8MP | 50MP Front Camera,8 GB RAM | 128 GB ROM,6500 mAh Battery,17.2 cm (6.77 inch) Full HD+ Display,4.4
796,"Coolpad CP12 Neo (Blue, 64 GB)","₹7,299₹9,99927% off",,27% off,13MP Rear Camera | 5MP Front Camera,8 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Battery,16.66 cm (6.56 inch) Display,
797,"POCO X7 5G (Cosmic Silver, 256 GB)","₹19,999₹27,99928% off","29,521 Ratings & 2,217 Reviews",28% off,50MP + 8MP + 2MP | 20MP Front Camera,8 GB RAM | 256 GB ROM,5500 mAh Battery,16.94 cm (6.67 inch) Display,4.3
798,Samsung Metro SM-313,"₹998₹1,99950% off",141 Ratings & 18 Reviews,50% off,0.3MP Rear Camera,4 MB RAM | 16 GB ROM | Expandable Upto 16 GB,1000 mAh Battery,5.08 cm (2 inch) QVGA Display,3
799,"Samsung Galaxy A06 5G (Light Green, 128 GB)","₹11,685₹15,49924% off","2,876 Ratings & 169 Reviews",24% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM,5000 mAh Li-ion Battery,17.02 cm (6.7 inch) HD+ Display,4.1
800,"vivo Y31 5G (Diamond Green, 128 GB)","₹16,999₹19,99915% off",350 Ratings & 10 Reviews,15% off,50MP + 0.08MP | 8MP Front Camera,4 GB RAM | 128 GB ROM,6500 mAh Battery,16.97 cm (6.68 inch) Full HD+ Display,4.4
801,"Nothing Phone (3a) Lite (Blue, 256 GB)","₹23,999₹24,9994% off",621 Ratings & 41 Reviews,4% off,50MP + 8MP + 2MP | 16MP Front Camera,8 GB RAM | 256 GB ROM,5000 mAh Lithium ion Battery,43.66 cm (17.19 cm) Full HD+ Display,4.4
802,Jio Bharat V4 JBV191M2 4G UPI Phone,"₹729₹1,74958% off",272 Ratings & 25 Reviews,58% off,0.3MP Rear Camera | 0MP Front Camera,36 MB RAM | 36 MB ROM | Expandable Upto 128 GB,1000 mAh Battery,4.5 cm (1.77 inch) QVGA Display,3.8
803,"REDMI 14C 5G (Stardust Purple, 128 GB)","₹11,500₹13,99917% off","9,171 Ratings & 453 Reviews",17% off,50MP Rear Camera | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5160 mAh Battery,17.48 cm (6.88 inch) HD+ Display,4.2
804,"REDMI Note 15 5G (Black, 128 GB)","₹23,360₹26,99913% off",60 Ratings & 4 Reviews,13% off,108MP Rear Camera,8 GB RAM | 128 GB ROM,5520 mAh Battery,17.2 cm (6.77 inch) Display,4.6
